"Entity DCID","Entity properties isoCode","Entity properties name","Variable DCID","Variable observation date","Variable observation metadata importName","Variable observation metadata provenanceUrl","Variable observation metadata scalingFactor","Variable observation metadata unit","Variable observation metadata unitDisplayName","Variable observation value","Variable properties name"
"country/CHN","CN","China","Amount_EconomicActivity_GrossNationalIncome_PurchasingPowerParity_PerCapita","1990","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","InternationalDollar","IDD (USD in year 2000 value)",980,"Gross National Income Based on Purchasing Power Parity Per Capita"
"country/CHN","CN","China","Amount_EconomicActivity_GrossNationalIncome_PurchasingPowerParity_PerCapita","1991","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","InternationalDollar","IDD (USD in year 2000 value)",1100,"Gross National Income Based on Purchasing Power Parity Per Capita"
"country/CHN","CN","China","Amount_EconomicActivity_GrossNationalIncome_PurchasingPowerParity_PerCapita","1992","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","InternationalDollar","IDD (USD in year 2000 value)",1260,"Gross National Income Based on Purchasing Power Parity Per Capita"
"country/CHN","CN","China","Amount_EconomicActivity_GrossNationalIncome_PurchasingPowerParity_PerCapita","1993","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","InternationalDollar","IDD (USD in year 2000 value)",1450,"Gross National Income Based on Purchasing Power Parity Per Capita"
"country/CHN","CN","China","Amount_EconomicActivity_GrossNationalIncome_PurchasingPowerParity_PerCapita","1994","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","InternationalDollar","IDD (USD in year 2000 value)",1660,"Gross National Income Based on Purchasing Power Parity Per Capita"
"country/CHN","CN","China","Amount_EconomicActivity_GrossNationalIncome_PurchasingPowerParity_PerCapita","1995","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","InternationalDollar","IDD (USD in year 2000 value)",1830,"Gross National Income Based on Purchasing Power Parity Per Capita"
"country/CHN","CN","China","Amount_EconomicActivity_GrossNationalIncome_PurchasingPowerParity_PerCapita","1996","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","InternationalDollar","IDD (USD in year 2000 value)",2030,"Gross National Income Based on Purchasing Power Parity Per Capita"
"country/CHN","CN","China","Amount_EconomicActivity_GrossNationalIncome_PurchasingPowerParity_PerCapita","1997","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","InternationalDollar","IDD (USD in year 2000 value)",2240,"Gross National Income Based on Purchasing Power Parity Per Capita"
"country/CHN","CN","China","Amount_EconomicActivity_GrossNationalIncome_PurchasingPowerParity_PerCapita","1998","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","InternationalDollar","IDD (USD in year 2000 value)",2410,"Gross National Income Based on Purchasing Power Parity Per Capita"
"country/CHN","CN","China","Amount_EconomicActivity_GrossNationalIncome_PurchasingPowerParity_PerCapita","1999","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","InternationalDollar","IDD (USD in year 2000 value)",2620,"Gross National Income Based on Purchasing Power Parity Per Capita"
"country/CHN","CN","China","Amount_EconomicActivity_GrossNationalIncome_PurchasingPowerParity_PerCapita","2000","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","InternationalDollar","IDD (USD in year 2000 value)",2880,"Gross National Income Based on Purchasing Power Parity Per Capita"
"country/CHN","CN","China","Amount_EconomicActivity_GrossNationalIncome_PurchasingPowerParity_PerCapita","2001","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","InternationalDollar","IDD (USD in year 2000 value)",3160,"Gross National Income Based on Purchasing Power Parity Per Capita"
"country/CHN","CN","China","Amount_EconomicActivity_GrossNationalIncome_PurchasingPowerParity_PerCapita","2002","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","InternationalDollar","IDD (USD in year 2000 value)",3500,"Gross National Income Based on Purchasing Power Parity Per Capita"
"country/CHN","CN","China","Amount_EconomicActivity_GrossNationalIncome_PurchasingPowerParity_PerCapita","2003","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","InternationalDollar","IDD (USD in year 2000 value)",3910,"Gross National Income Based on Purchasing Power Parity Per Capita"
"country/CHN","CN","China","Amount_EconomicActivity_GrossNationalIncome_PurchasingPowerParity_PerCapita","2004","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","InternationalDollar","IDD (USD in year 2000 value)",4420,"Gross National Income Based on Purchasing Power Parity Per Capita"
"country/CHN","CN","China","Amount_EconomicActivity_GrossNationalIncome_PurchasingPowerParity_PerCapita","2005","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","InternationalDollar","IDD (USD in year 2000 value)",5020,"Gross National Income Based on Purchasing Power Parity Per Capita"
"country/CHN","CN","China","Amount_EconomicActivity_GrossNationalIncome_PurchasingPowerParity_PerCapita","2006","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","InternationalDollar","IDD (USD in year 2000 value)",5830,"Gross National Income Based on Purchasing Power Parity Per Capita"
"country/CHN","CN","China","Amount_EconomicActivity_GrossNationalIncome_PurchasingPowerParity_PerCapita","2007","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","InternationalDollar","IDD (USD in year 2000 value)",6830,"Gross National Income Based on Purchasing Power Parity Per Capita"
"country/CHN","CN","China","Amount_EconomicActivity_GrossNationalIncome_PurchasingPowerParity_PerCapita","2008","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","InternationalDollar","IDD (USD in year 2000 value)",7630,"Gross National Income Based on Purchasing Power Parity Per Capita"
"country/CHN","CN","China","Amount_EconomicActivity_GrossNationalIncome_PurchasingPowerParity_PerCapita","2009","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","InternationalDollar","IDD (USD in year 2000 value)",8290,"Gross National Income Based on Purchasing Power Parity Per Capita"
"country/CHN","CN","China","Amount_EconomicActivity_GrossNationalIncome_PurchasingPowerParity_PerCapita","2010","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","InternationalDollar","IDD (USD in year 2000 value)",9220,"Gross National Income Based on Purchasing Power Parity Per Capita"
"country/CHN","CN","China","Amount_EconomicActivity_GrossNationalIncome_PurchasingPowerParity_PerCapita","2011","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","InternationalDollar","IDD (USD in year 2000 value)",10200,"Gross National Income Based on Purchasing Power Parity Per Capita"
"country/CHN","CN","China","Amount_EconomicActivity_GrossNationalIncome_PurchasingPowerParity_PerCapita","2012","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","InternationalDollar","IDD (USD in year 2000 value)",11140,"Gross National Income Based on Purchasing Power Parity Per Capita"
"country/CHN","CN","China","Amount_EconomicActivity_GrossNationalIncome_PurchasingPowerParity_PerCapita","2013","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","InternationalDollar","IDD (USD in year 2000 value)",11780,"Gross National Income Based on Purchasing Power Parity Per Capita"
"country/CHN","CN","China","Amount_EconomicActivity_GrossNationalIncome_PurchasingPowerParity_PerCapita","2014","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","InternationalDollar","IDD (USD in year 2000 value)",12500,"Gross National Income Based on Purchasing Power Parity Per Capita"
"country/CHN","CN","China","Amount_EconomicActivity_GrossNationalIncome_PurchasingPowerParity_PerCapita","2015","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","InternationalDollar","IDD (USD in year 2000 value)",12840,"Gross National Income Based on Purchasing Power Parity Per Capita"
"country/CHN","CN","China","Amount_EconomicActivity_GrossNationalIncome_PurchasingPowerParity_PerCapita","2016","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","InternationalDollar","IDD (USD in year 2000 value)",13420,"Gross National Income Based on Purchasing Power Parity Per Capita"
"country/CHN","CN","China","Amount_EconomicActivity_GrossNationalIncome_PurchasingPowerParity_PerCapita","2017","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","InternationalDollar","IDD (USD in year 2000 value)",14220,"Gross National Income Based on Purchasing Power Parity Per Capita"
"country/CHN","CN","China","Amount_EconomicActivity_GrossNationalIncome_PurchasingPowerParity_PerCapita","2018","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","InternationalDollar","IDD (USD in year 2000 value)",15430,"Gross National Income Based on Purchasing Power Parity Per Capita"
"country/CHN","CN","China","Amount_EconomicActivity_GrossNationalIncome_PurchasingPowerParity_PerCapita","2019","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","InternationalDollar","IDD (USD in year 2000 value)",16610,"Gross National Income Based on Purchasing Power Parity Per Capita"
"country/CHN","CN","China","Amount_EconomicActivity_GrossNationalIncome_PurchasingPowerParity_PerCapita","2020","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","InternationalDollar","IDD (USD in year 2000 value)",17070,"Gross National Income Based on Purchasing Power Parity Per Capita"
"country/CHN","CN","China","Amount_EconomicActivity_GrossNationalIncome_PurchasingPowerParity_PerCapita","2021","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","InternationalDollar","IDD (USD in year 2000 value)",19350,"Gross National Income Based on Purchasing Power Parity Per Capita"
"country/CHN","CN","China","Amount_EconomicActivity_GrossNationalIncome_PurchasingPowerParity_PerCapita","2022","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","InternationalDollar","IDD (USD in year 2000 value)",21250,"Gross National Income Based on Purchasing Power Parity Per Capita"